i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	H4_D	H4_T	H5_D	H5_T	H6_D	H6_T	He3_D	He3_T	alpha_D	alpha_T	He5_D	He5_T	He6_D	He6_T	He7_D	He7_T	He8_D	He8_T	Li4_D	Li4_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Li9_D	Li9_T	Li10_D	Li10_T	Be6_D	Be6_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	Be11_D	Be11_T	Be12_D	Be12_T	B7_D	B7_T	B8_D	B8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	B13_D	B13_T	B14_D	B14_T	B15_D	B15_T	B16_D	B16_T	C10_D	C10_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C15_D	C15_T	C16_D	C16_T	C17_D	C17_T	N11_D	N11_T	N12_D	N12_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	N17_D	N17_T	N18_D	N18_T	N19_D	N19_T	O13_D	O13_T	O14_D	O14_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	O19_D	O19_T	O20_D	O20_T	F14_D	F14_T	F15_D	F15_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	F20_D	F20_T	F21_D	F21_T	F22_D	F22_T	Ne16_D	Ne16_T	Ne17_D	Ne17_T	Ne18_D	Ne18_T	Ne19_D	Ne19_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Ne22_D	Ne22_T	Ne23_D	Ne23_T	Na20_D	Na20_T	Na21_D	Na21_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Na25_D	Na25_T	Na26_D	Na26_T	Mg23_D	Mg23_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Mg27_D	Mg27_T	Al24_D	Al24_T	Al25_D	Al25_T	Al26_D	Al26_T	Al27_D	Al27_T	Al28_D	Al28_T	Si27_D	Si27_T	Si28_D	Si28_T	Si29_D	Si29_T	Si30_D	Si30_T	P29_D	P29_T	P30_D	P30_T
0	0	0	75.0976	73.1363	9.17844	3.46906	13.3705	6.40605	17.7545	9.32515	3.07607	2.66252	0	0	0	0	240.093	26.2809	384.011	24.7866	0	0	402.013	100.544	0	0	0	0	11.4457	11.2503	91.0196	18.0811	169.895	22.5245	12.4674	12.2545	0	0	0	0	51.0982	35.7512	121.475	34.4602	163.684	25.4362	24.7476	22.6963	61.6664	40.4952	0	0	0	0	0	0	62.4857	47.1293	112.213	39.4937	182.985	41.0049	263.788	45.2538	37.1717	35.5076	33.3531	33.354	0	0	0	0	0	0	126.617	106.904	139.296	62.092	271.062	57.5007	239.554	66.0486	260.937	73.6173	289.833	163.396	53.3899	53.1574	0	0	0	0	72.6429	71.6979	345.901	74.0122	263.436	75.344	331.411	75.6673	388.402	128.262	289.651	210.465	190.993	190.943	0	0	0	0	424.438	144.645	368.075	98.4293	454.785	103.694	74.1684	73.5982	464.644	227.827	0	0	0	0	0	0	0	0	422.729	514.251	552.254	354.046	590.638	298.844	355.982	355.882	300.879	300.476	0	0	0	0	0	0	498.322	498.322	748.249	335.578	423.972	418.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.43	2197.43	0	0	0	0	0	0	0	0
1	0	0	75.8045	73.4158	8.98799	3.52832	12.7204	5.49381	18.05	8.02427	2.16872	2.01634	1.27153	1.27153	1.32283	1.32283	343.718	32.0555	346.721	23.4862	0	0	517.91	62.0742	0	0	0	0	14.3205	13.4458	109.713	19.1394	131.289	28.9007	52.5128	23.0603	0	0	0	0	56.2588	56.2588	164.054	35.8032	137.662	42.0833	142.341	34.0987	67.7254	41.5405	0	0	0	0	0	0	72.3056	50.3743	149.846	149.846	261.434	50.0093	113.648	35.4443	36.9892	34.8723	33.4526	33.4496	0	0	0	0	0	0	120.864	88.4662	240.11	60.6339	249.927	60.9217	226.231	63.4016	278.398	87.9515	282.235	186.391	170.532	116.687	0	0	0	0	143.651	88.4147	309.435	93.7573	261.32	76.7747	290.797	75.1257	522.353	140.996	493.895	292.674	208.524	208.493	0	0	0	0	559.732	142.965	339.372	101.905	422.05	116.56	74.5293	74.0818	534.854	297.51	292.678	291.949	0	0	0	0	450.163	450.163	608.604	543.81	696.496	452.858	687.069	337.898	409.376	406.199	339.398	339.016	400.912	400.576	0	0	0	0	574.209	572.195	657.412	382.821	646.305	522.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	76.5682	73.7342	9.08874	3.45441	14.0216	5.51699	16.9172	7.46114	1.97355	1.96698	0	0	0	0	236.465	21.3578	294.781	20.344	0	0	136.307	29.8512	0	0	0	0	17.7773	15.6923	88.3534	17.9031	112.238	28.8514	74.0027	26.5874	0	0	0	0	22.015	22.015	170.391	36.1659	39.0747	28.4875	134.833	37.6616	78.227	49.3129	0	0	0	0	0	0	84.416	53.2689	32.5102	33	168.23	46.3321	64.4052	37.5332	35.6158	34.4356	33.6019	33.6032	102.76	102.772	0	0	0	0	318.425	100.202	130.587	57.4024	219.032	57.1224	215.174	61.7036	318.375	93.3597	408.906	247.973	310.776	178.878	0	0	0	0	372.812	108.876	315.109	94.0512	227.41	72.8312	344.03	80.1783	437.658	173.626	503.763	316.984	235.919	235.675	0	0	81.5052	81.4695	398.668	126.011	326.536	102.356	487.062	119.287	74.9333	74.5779	544.595	279.255	353.636	348.934	0	0	0	0	0	0	663.848	478.506	627.082	431.176	652.505	331.94	591.048	473.048	400.243	398.774	500.027	494.334	0	0	0	0	380.808	380.808	762.088	448.832	795.947	576.651	0	0	500.349	499.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	76.9401	74.0439	9.39385	3.47451	13.5673	4.98983	16.1077	6.9246	2.67428	2.07444	0	0	0	0	224.001	20.0256	286.99	18.7607	0	0	379.462	61.4052	0	0	0	0	10.0869	9.45147	70.8276	16.8957	105.14	22.4593	170.811	16.6958	0	0	0	0	21.3802	21.3802	138.207	32.3759	114.95	35.3779	169.797	33.2416	93.0684	54.1031	0	0	0	0	0	0	111.422	60.6072	37.2986	37.2986	199.45	41.1981	189.034	40.9121	35.5148	34.2418	34.0033	33.989	107.23	107.251	0	0	182.224	182	234.39	77.6534	134.992	53.9594	192.3	55.0423	143.611	56.3346	340.136	90.1386	411.376	219.564	242.691	190.096	0	0	0	0	119.732	89.9956	303.51	82.2436	191.404	70.9442	266.223	77.2406	418.718	186.887	482.781	277.499	280.143	279.073	0	0	84.2648	84.1763	428.07	163.676	323.711	98.0887	433.313	114.397	75.4255	75.0904	503.218	281.05	554.18	392.268	0	0	0	0	0	0	744.231	424.815	693.025	370.507	579.79	350.361	660.268	471.841	510.473	506.764	882.797	710.946	0	0	0	0	0	0	637.759	360.238	793.158	570.509	0	0	896.303	678.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	77.5842	74.3565	8.52283	3.31987	12.5981	4.67461	16.0116	7.01744	2.92443	2.5771	0	0	0	0	258.161	18.1955	273.868	17.2213	0	0	85.9645	20.5616	14.2335	14.2335	0	0	17.0085	14.3578	73.9827	15.9149	67.1205	22.6346	65.747	13.8289	0	0	0	0	27.8615	27.8615	101.79	31.3107	83.8617	33.5611	148.094	25.9938	203.075	57.4364	0	0	0	0	0	0	282.46	55.2178	79.9345	44.1711	74.5134	35.8351	133.189	38.1027	35.7255	34.279	65.7087	48.2412	116.497	115.447	161.356	161.102	233.345	230.755	207.648	73.2932	136.008	55.3196	196.025	56.0444	159.235	55.733	318.03	93.1448	314.229	200.667	411.757	179.028	0	0	0	0	136.668	92.2268	181.28	70.7615	191.253	72.6238	271.978	74.6109	468.099	219.923	436.249	240.089	356.325	343.916	189.394	189.361	85.7132	85.171	388.099	173.735	262.238	96.1998	418.305	118.915	75.9849	75.6139	529.517	315.378	573.435	405.932	0	0	0	0	0	0	319.342	262.904	568.316	439.91	620.531	375.868	617.807	460.741	875.841	703.566	0	0	0	0	0	0	518.393	517.923	759.882	447.211	884.64	602.81	378.504	378.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	78.0631	74.6536	8.24178	3.27439	12.9428	4.7691	14.7395	6.6282	9.84769	5.35135	0	0	0	0	147.465	13.8491	224.476	15.7316	0	0	375.148	30.296	6.82928	6.82928	0	0	17.5715	15.846	65.6291	16.161	97.0779	27.3825	126.794	17.1089	0	0	0	0	19.8572	21.9703	107.35	33.0598	72.2991	33.195	90.5089	23.4508	194.069	43.9636	0	0	0	0	0	0	36.5091	35.9661	31.8199	109.362	185.651	40.9104	92.2382	40.0216	35.8832	34.4975	317.003	70.6344	137.555	134.781	196.4	195.262	437.047	342.247	279.629	78.5732	114.543	54.7007	186.013	55.8204	127.61	55.6584	291.793	89.6275	451.864	257.155	231.445	164.274	0	0	0	0	330.281	104.351	201.614	76.6755	203.807	71.4625	235.11	73.5937	525.65	176.09	390.725	239.395	527.931	292.292	203.387	203.288	86.3404	86.1825	458.15	159.229	245.287	94.5221	408.984	113.313	76.482	76.1506	550.885	336.328	402.082	389.059	0	0	0	0	261.663	261.663	839.637	558.27	699.757	575.564	636.718	380.323	668.221	480.719	0	0	0	0	0	0	0	0	489.355	477.459	827.08	364.953	642.868	473.896	429.864	428.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	78.7643	75.0039	7.97801	3.17814	12.8233	4.76316	15.6525	6.28208	2.70674	2.46388	0	0	0	0	147.618	14.9322	205.021	14.3016	8.94301	8.94301	401.832	33.6893	6.74812	6.74812	0	0	13.0589	12.7065	63.3398	16.0212	116.555	24.8666	129.358	21.7847	0	0	0	0	0	0	102.661	31.5459	93.3059	25.3291	145.679	34.1173	79.7968	47.5414	0	0	0	0	0	0	37.1874	36.4845	134.662	35.9622	104.335	37.2261	156.043	43.95	35.9457	34.7199	93.7479	66.0522	164.5	153.802	381.907	282.985	0	0	206.744	66.2763	131.658	57.5889	157.21	53.2331	122.323	58.2298	290.871	92.7107	434.803	235.439	310.386	166.569	165.887	165.887	0	0	70.7626	69.6317	203.38	73.2731	149.552	68.6933	242.275	75.7954	403.461	167.814	412.798	281.56	257.39	256.733	224.216	223.98	85.4337	85.2749	416.635	146.332	268.222	96.2911	410.245	113.308	77.1087	76.7	532.557	338.063	608.99	365.555	0	0	0	0	0	0	411.1	421.934	518.113	263.658	670.865	428.91	711.444	533.615	0	0	0	0	0	0	0	0	486.623	456.851	743.813	429.527	722.652	517.332	528.847	520.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053.11	2053.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	79.3494	75.4287	8.5683	3.22568	12.6023	4.8205	15.3547	6.12554	1.92248	1.7252	0	0	0	0	183.922	16.3992	197.035	13.2852	0	0	87.9389	21.3661	392.916	392.916	0	0	20.9781	19.4402	44.3442	15.0592	72.1449	18.9476	92.0136	31.1475	0	0	0	0	0	0	91.3333	30.6451	155.769	31.1854	32.7268	25.5858	182.832	66.6457	0	0	0	0	42.0596	42.0596	57.2977	44.3313	29.8937	29.9441	143.67	40.0216	128.277	42.8635	36.2333	34.9633	116.283	83.2536	283.537	165.092	0	0	0	0	150.249	71.1793	186.237	56.3028	140.099	53.6331	169.977	61.3446	290.146	72.3138	472.531	160.073	327.658	224.423	176.824	176.467	0	0	70.889	69.2408	172.981	74.8076	151.328	70.2124	226.69	72.1462	492.566	211.563	380.828	289.435	322.174	320.441	254.088	253.645	86.1282	85.7478	297.143	133.406	273.446	93.3849	397.331	110.21	77.6122	77.2582	602.565	352.207	557.002	367.35	0	0	0	0	0	0	496.725	457.879	782.334	575.164	712.238	409.872	745.185	521.656	3.41549	3.41477	0	0	0	0	0	0	610.878	610.293	721.982	399.286	652.049	554.963	958.83	728.081	387.029	386.817	1511.82	1511.82	1.28717	1.43171	0	0	0	0	0	0	1175.6	944.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	79.704	75.7834	8.6203	3.16436	12.3835	4.6432	16.034	6.50163	3.72971	2.42192	0	0	0	0	201.583	16.8224	181.871	12.7413	0	0	362.925	36.995	0	0	0	0	14.3074	12.7663	36.9487	15.0768	99.4725	17.7817	107.927	25.3509	0	0	0	0	0	0	106.776	29.5483	113.38	34.1698	91.8089	27.0241	181.781	63.9452	0	0	0	0	0	0	77.2456	51.7856	31.295	31.8696	101.388	39.3662	132.415	41.0111	37.6796	35.3165	138.238	98.3358	181.551	165.307	0	0	0	0	270.829	60.8387	101.44	54.3679	170.402	54.8688	148.866	57.2799	191.784	72.5396	485.706	203.726	453.735	232.777	205.478	204.804	63.8739	63.8739	70.6393	69.2533	186.372	75.783	159.875	69.8403	229.02	72.3864	494.704	183.785	467.594	329.585	593.252	453.006	302.487	301.293	86.1423	85.7964	433.368	133.656	199.415	89.9535	382.378	111.851	78.0985	77.8338	562.01	347.216	602.207	481.912	0	0	0	0	0	0	393.611	221.414	538.603	394.822	673.987	383.121	587.315	484.742	360.836	354.846	0	0	0	0	0	0	396.81	398.089	702.499	440.023	849.461	605.099	439.047	439.007	443.425	441.989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	80.3786	76.1453	8.26214	3.11601	13.2287	4.90045	16.4829	6.64088	3.40044	2.95789	0	0	0	0	170.367	17.8019	182.09	13.2294	0	0	339.355	37.6478	0	0	0	0	11.9368	11.9368	51.9908	16.0532	57.1679	18.757	141.447	29.8799	0	0	0	0	25.7801	26.5854	57.3076	27.8864	138.627	45.456	41.9348	28.3256	224.723	58.1675	0	0	22.7882	22.7905	39.0044	39.0044	198.082	59.355	33.681	31.7705	106.172	38.5227	149.003	39.5111	205.942	37.8042	172.728	116.432	344.567	188.193	0	0	0	0	195.718	61.6892	144.231	56.8404	143.498	54.1263	116.804	55.9721	262.48	81.3823	403.88	164.379	205.011	132.614	259.011	256.858	0	0	153.5	71.9006	238.838	76.3613	132.406	69.9922	179.745	70.2066	491.71	185.036	455.818	294.897	0	0	398.355	394.521	87.3305	87.2016	382.337	132.668	207.914	91.8484	397.285	113.32	78.7427	78.4252	594.113	341.751	576.559	341.736	0	0	0	0	0	0	686.514	520.29	752.82	581.542	645.573	437.898	705.232	472.818	469.327	452.812	0	0	0	0	0	0	498.862	498.862	733.989	472.754	776.126	550.315	478.723	471.663	577.67	572.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	80.6194	76.4376	7.97939	3.03928	12.2726	4.90472	14.8608	7.19582	0	0	0	0	0	0	230.235	28.885	155.039	13.9505	0	0	422.968	39.4877	0	0	0	0	14.6286	14.6286	50.4605	17.0109	63.6623	21.3219	53.4717	21.7635	0	0	0	0	0	0	88.4295	29.6274	83.5657	39.9605	54.9829	31.4513	192.414	26.5283	0	0	22.8747	22.8736	0	0	193.988	50.2551	386.919	94.5248	82.2711	40.2239	113.19	40.5235	40.1577	36.8448	353.732	143.923	135.277	135.197	0	0	0	0	64.912	55.7718	150.876	55.0482	134.12	54.7918	109.033	56.1641	220.9	82.3635	74.2596	68.6866	424.924	144.314	488.599	368.694	0	0	72.176	70.5574	138.265	71.5221	124.66	70.9105	159.935	71.3991	450.091	157.712	467.96	305.019	0	0	677.414	587.512	88.7883	88.4804	323.861	128.553	152.743	89.8077	280.107	105.815	79.3367	79.0318	505.801	298.193	344.266	322.386	255.627	224.313	0	0	0	0	339.233	219.641	138.937	124.089	678.177	391.564	564.825	406.854	698.314	443.28	269.065	268.871	0	0	0	0	0	0	832.97	368.917	781.826	575.344	747.053	595.724	1023.53	819.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	80.7673	76.6812	7.50219	2.9001	10.7887	4.47896	14.3453	6.62888	0	0	0	0	0	0	188.029	27.4047	154.562	16.3808	0	0	36.1011	18.6927	23.0932	23.0932	0	0	0	0	53.7195	18.2917	79.2188	24.0103	99.0497	21.3462	0	0	0	0	0	0	66.5128	30.364	53.2819	43.3427	78.0175	30.7859	75.294	37.0129	0	0	22.9599	22.9599	0	0	40.7019	38.5665	100.097	102.014	84.3307	45.5805	96.4389	40.9163	56.7499	45.0529	35.428	35.4429	152.388	152.224	0	0	0	0	69.2651	56.8382	58.9943	52.2937	104.175	57.9054	108.778	59.3167	214.043	74.2436	75.4917	69.8695	57.8679	57.9045	0	0	0	0	72.7882	71.1961	93.1886	74.7934	117.293	74.1499	123.257	73.5909	250.426	153.849	440.018	310.411	0	0	0	0	90.1415	89.6817	307.952	117.364	123.835	88.5182	215.201	111.343	79.9032	79.6528	408.164	261.879	482.598	304.226	271.959	271.752	0	0	0	0	0	0	109.111	109.729	477.48	302.409	439.467	342.911	628.915	426.613	285.234	285.197	0	0	0	0	0	0	399.483	317.253	897.704	651.065	1010.14	805.244	412.967	412.525	0	0	0	0	0	0	0	0	0	0	0	0	1130.87	1130.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	81.4797	76.9635	7.23359	2.82199	10.8994	4.3043	13.4481	6.18784	7.221	7.221	0	0	0	0	185.067	27.3599	152.34	17.5928	0	0	49.2055	24.6825	0	0	0	0	102.694	102.694	46.4106	18.5696	65.4114	22.4378	38.3393	21.0914	0	0	0	0	0	0	80.7882	31.928	25.4126	32.9969	52.0868	34.2818	175.35	35.2045	0	0	40.4865	34.0205	0	0	44.0796	41.007	34.7855	34.9089	132.448	50.3148	60.3361	42.0669	62.9925	49.1613	35.6482	35.6351	179.736	179.193	0	0	0	0	73.6674	58.0474	86.5889	56.5206	115.519	63.1741	120.456	62.4175	190.225	73.9054	77.5456	71.1546	58.5709	58.4048	0	0	0	0	73.9742	72.1285	152.974	80.2588	130.342	77.2157	133.336	75.0074	378.91	125.98	525.466	305.272	0	0	0	0	91.3981	90.9401	222.327	107.515	103.542	88.7031	218.605	116.404	80.5357	80.2953	365.002	262.359	417.196	240.435	309.107	308.424	0	0	0	0	0	0	0	0	420.716	323.84	490.276	348.83	410.679	385.756	313.968	313.805	0	0	0	0	0	0	660.705	265.182	868.085	502.494	368.412	368.193	485.639	483.884	0	0	0	0	0	0	0	0	0	0	0	0	1491.18	1491.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	82.456	77.3146	7.24208	2.83603	10.8576	4.30891	12.1614	5.9736	0	0	0	0	0	0	176.3	26.3618	153.868	18.5332	0	0	86.2903	34.3995	0	0	0	0	0	0	43.9632	19.1924	53.8473	23.7261	93.2366	23.5572	0	0	0	0	0	0	53.46	31.7901	33.4432	34.67	63.7876	37.2226	38.8249	30.6611	0	0	44.2352	38.2395	0	0	44.445	41.305	0	0	124.757	48.2352	83.0085	45.4529	67.4495	51.7427	35.8527	35.8327	236.038	233.658	0	0	0	0	91.5537	61.1595	102.993	58.09	123.574	66.8265	127.993	64.5194	143.963	72.6969	80.0761	72.5058	59.2141	58.9133	0	0	0	0	75.3671	73.161	144.366	83.5224	137.237	80.0121	121.446	77.0709	288.914	140.774	527.814	275.272	0	0	0	0	92.6846	92.24	176.346	104.26	102.653	90.1023	247.074	124.504	81.2224	80.9547	402.587	267.297	272.588	238.984	369.309	367.974	0	0	0	0	0	0	0	0	517.616	340.153	521.197	370.008	707.638	439.156	354.356	353.658	0	0	0	0	0	0	246.275	240.222	782.176	561.507	415.601	414.727	655.324	646.88	0	0	0	0	0	0	0	0	0	0	441.796	441.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	83.4216	77.6752	7.12028	2.79733	10.1515	4.09465	12.9884	6.07275	13.3786	13.3786	0	0	0	0	188.156	26.7733	145.084	19.1001	0	0	330.943	51.362	0	0	0	0	49.9029	49.9029	47.4719	20.0571	51.5152	25.1813	30.486	21.6975	0	0	0	0	0	0	64.3885	33.4195	47.3933	45.7002	125.896	38.6737	41.2424	31.6294	0	0	46.0783	39.0192	0	0	44.9472	41.5861	45.3959	40.3021	104.43	48.2675	89.6042	48.8212	72.0114	53.7185	36.0171	36.0368	429.434	347.08	0	0	0	0	175.764	58.2067	98.2149	57.1541	131.315	70.2103	130.48	66.9335	193.135	73.6481	81.9613	74.0515	60.006	59.4547	0	0	0	0	76.5543	74.2374	173.333	85.2212	142.262	82.9197	153.204	80.9515	291.785	139.817	192.073	159.036	0	0	0	0	94.1606	93.6054	168.01	102.283	120.583	91.0366	261.05	131.357	81.931	81.6328	421.82	279.119	438.066	250.156	485.398	481.179	0	0	0	0	0	0	0	0	481.451	335.745	548.668	368.486	400.215	376.649	411.213	407.57	0	0	0	0	0	0	265.424	256.628	576.098	539.448	501.374	496.918	1116.75	1116.75	356.274	356.311	1.36544	1.43171	0	0	0	0	0	0	937.059	513.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	84.4664	78.0682	6.87548	2.75381	9.73442	4.13029	12.4506	5.92159	0	0	0	0	0	0	175.742	25.3194	162.202	20.7438	0	0	58.6663	28.6299	0	0	0	0	0	0	41.6432	20.8503	49.7493	26.7838	39.9144	25.8505	38.9946	38.9975	38.4566	38.4566	0	0	73.0276	33.1465	98.996	37.2958	49.8627	34.969	45.3748	35.0768	0	0	46.9376	39.8458	0	0	49.785	44.3022	36.3232	36.3232	114.162	50.6334	90.3755	49.9526	80.0739	56.3057	36.286	36.2593	0	0	0	0	0	0	62.3225	56.5396	101.425	59.5167	161.215	74.4039	149.705	69.1747	162.298	71.7682	99.2511	88.7239	60.2502	59.9913	0	0	0	0	84.2004	78.1402	151.446	86.1285	168.124	85.9071	162.168	82.5055	288.728	141.034	222.864	176.296	0	0	0	0	95.7121	95.0279	204.814	103.141	106.98	91.7451	282.583	135.453	82.6232	82.3284	412.985	289.7	279.793	262.835	807.695	807.695	0	0	0	0	0	0	130.837	123.247	506.128	349.185	528.236	370.806	630.233	430.247	452.823	426.795	0	0	0	0	0	0	292.806	278.232	731.091	366.253	795.739	511.765	367.666	356.5	377.688	377.442	0	0	0	0	0	0	0	0	576.336	574.564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1966.24	1966.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	85.3776	78.4742	6.77347	2.72122	10.3137	4.2419	12.4442	5.93914	2.5668	2.5668	0	0	0	0	155.13	24.3153	159.636	21.1057	0	0	211.9	44.5972	0	0	0	0	0	0	49.0124	21.8956	48.3753	29.4789	73.328	26.2329	40.0294	40.0297	0	0	0	0	60.1638	34.3155	34.3951	39.5702	59.058	38.3442	49.3457	36.7672	0	0	48.3673	40.7418	0	0	53.7126	46.4625	76.4527	66.4722	99.8316	52.4239	108.388	52.8361	97.7861	63.821	36.5035	36.4737	0	0	0	0	0	0	68.7882	58.965	127.44	60.0589	160.007	75.0675	149.004	70.5602	193.784	70.1221	106.624	95.3267	61.02	60.5406	0	0	0	0	98.639	85.1199	155.586	87.7416	158.638	87.2407	162.542	82.2646	330.317	134.936	276.821	205.342	0	0	0	0	97.1737	96.5783	107.401	98.3764	111.434	92.8073	312.01	135.106	83.3508	83.0434	458.73	291.355	419.358	305.652	0	0	0	0	0	0	0	0	250.47	250.47	505.653	362.809	515.982	378.673	573.892	427.122	739.305	454.769	0	0	0	0	0	0	335.227	309.92	371.746	369.55	386.869	383.062	418.543	402.447	432.066	431.22	1.28636	1.43171	0	0	0	0	0	0	1078.9	785.478	716.981	716.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	86.2711	78.9024	7.31828	2.77804	9.73472	4.16742	12.9519	5.82873	0	0	0	0	0	0	163.652	25.1009	161.779	21.4934	0	0	214.285	42.0264	0	0	0	0	0	0	46.9058	22.8051	64.7472	31.4816	33.0124	25.017	41.6284	41.6219	0	0	0	0	67.9594	38.0229	60.4538	42.2073	97.9256	41.8624	53.9811	38.4699	0	0	51.4841	41.7289	0	0	57.2362	48.7319	52.6725	36.4778	129.224	53.5795	127.125	54.1414	181.561	69.5143	36.6894	36.6843	0	0	0	0	0	0	74.4222	60.4016	127.549	59.4194	164.069	76.106	157.579	71.7456	157.124	70.043	375.602	109.203	61.5258	61.1137	0	0	0	0	110.405	91.657	186.106	88.0228	180.22	90.3766	151.116	84.4544	280.274	143.355	535.835	245.252	0	0	0	0	98.8357	98.2075	117.701	102.034	108.835	94.2117	267.492	134.975	84.0674	83.7794	436.11	284.183	382.529	314.573	0	0	0	0	0	0	0	0	117.507	117.507	570.552	380.118	580.582	378.944	615.794	433.806	449.531	448.124	0	0	0	0	0	0	420.841	364.708	391.45	377.372	410.733	395.06	490.302	444.243	518.991	516.712	1.31803	1.43171	0	0	0	0	0	0	1288.25	1288.25	1148.49	910.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
